puzzle_num,puzzle_folder,difficulty,num_1x1_blockers,num_2x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
1,puzzle1,easy,5,0,4,4,True,True,17.55,916,0,1549,2465,False,0,2025-08-25T16:12:33.024308
2,puzzle2,easy,4,0,5,5,True,True,10.76,904,0,1052,1956,False,0,2025-08-25T16:12:44.780753
3,puzzle3,easy,4,0,2,2,True,True,12.63,906,0,1004,1910,False,0,2025-08-25T16:12:58.408033
4,puzzle4,easy,4,0,1,1,True,True,9.0,903,0,540,1443,False,0,2025-08-25T16:13:08.406464
5,puzzle5,easy,4,0,6,6,True,True,20.64,906,0,1709,2615,False,0,2025-08-25T16:13:30.049876
6,puzzle6,easy,4,0,4,4,True,True,9.99,905,0,908,1813,False,0,2025-08-25T16:13:41.041049
7,puzzle7,easy,4,0,5,5,True,True,22.96,906,0,1244,2150,False,0,2025-08-25T16:14:05.010195
8,puzzle8,easy,4,0,4,4,True,True,8.06,904,0,780,1684,False,0,2025-08-25T16:14:14.071522
9,puzzle9,easy,4,0,3,3,True,True,22.96,906,0,957,1863,False,0,2025-08-25T16:14:38.028657
10,puzzle10,easy,4,0,6,6,True,True,20.71,904,0,1581,2485,False,0,2025-08-25T16:14:59.734226
11,puzzle11,easy,4,0,3,3,True,True,6.47,904,0,828,1732,False,0,2025-08-25T16:15:07.206574
12,puzzle12,easy,3,1,2,2,True,True,12.93,911,0,620,1531,False,0,2025-08-25T16:15:21.132699
13,puzzle13,easy,4,0,4,4,True,True,22.87,905,0,2252,3157,False,0,2025-08-25T16:15:45.002858
14,puzzle14,easy,3,1,5,5,True,True,25.73,911,0,2406,3317,False,0,2025-08-25T16:16:11.734410
15,puzzle15,easy,3,1,1,1,True,True,8.1,909,0,604,1513,False,0,2025-08-25T16:16:20.831795
16,puzzle16,easy,5,0,1,1,True,True,7.33,916,0,540,1456,False,0,2025-08-25T16:16:29.161110
17,puzzle17,easy,3,1,1,1,True,True,8.51,910,0,540,1450,False,0,2025-08-25T16:16:38.671384
18,puzzle18,easy,5,0,2,2,True,True,7.87,917,0,428,1345,False,0,2025-08-25T16:16:47.539073
19,puzzle19,easy,4,0,5,5,True,True,39.39,904,0,4573,5477,False,0,2025-08-25T16:17:27.925497
20,puzzle20,easy,4,0,2,2,True,True,4.97,904,0,428,1332,False,0,2025-08-25T16:17:33.900205
21,puzzle21,easy,5,0,5,5,True,True,36.64,917,0,2013,2930,False,0,2025-08-25T16:18:11.543663
22,puzzle22,easy,4,0,1,1,True,True,6.07,904,0,476,1380,False,0,2025-08-25T16:18:18.619080
23,puzzle23,easy,5,0,5,5,True,True,66.06,916,0,3551,4467,False,0,2025-08-25T16:19:25.684653
24,puzzle24,easy,4,0,4,4,True,True,11.21,905,0,1037,1942,False,0,2025-08-25T16:19:37.893240
25,puzzle25,easy,4,0,2,2,True,True,8.87,905,0,684,1589,False,0,2025-08-25T16:19:47.762046
26,puzzle26,easy,3,1,3,3,True,True,13.82,910,0,1277,2187,False,0,2025-08-25T16:20:02.584065
27,puzzle27,easy,5,0,3,3,True,True,6.52,916,0,508,1424,False,0,2025-08-25T16:20:10.108902
28,puzzle28,easy,5,0,2,2,True,True,16.04,917,0,620,1537,False,0,2025-08-25T16:20:27.145396
29,puzzle29,easy,4,0,4,4,True,True,11.17,905,0,973,1878,False,0,2025-08-25T16:20:39.313927
