puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
1,puzzle1,easy,2,4,4,True,True,14.17,454,0,1357,1811,False,0,2025-08-25T14:27:26.656746
2,puzzle2,easy,2,1,1,True,True,5.67,454,0,348,802,False,0,2025-08-25T14:27:33.327150
3,puzzle3,easy,2,2,2,True,True,5.92,455,0,364,819,False,0,2025-08-25T14:27:40.247466
4,puzzle4,easy,2,3,3,True,True,13.2,455,0,1021,1476,False,0,2025-08-25T14:27:54.445292
5,puzzle5,easy,2,2,2,True,True,10.66,454,0,556,1010,False,0,2025-08-25T14:28:06.106523
6,puzzle6,easy,3,1,1,True,True,3.89,464,0,348,812,False,0,2025-08-25T14:28:10.997220
7,puzzle7,easy,3,3,4,False,True,8.78,463,0,973,1436,False,0,2025-08-25T14:28:20.774464
8,puzzle8,easy,3,3,3,True,True,14.01,464,0,1149,1613,False,0,2025-08-25T14:28:35.782865
9,puzzle9,easy,3,4,4,True,True,19.21,464,0,1357,1821,False,0,2025-08-25T14:28:55.995080
10,puzzle10,easy,3,2,2,True,True,6.23,465,0,492,957,False,0,2025-08-25T14:29:03.226238
11,puzzle11,easy,3,4,4,True,True,26.97,464,0,2509,2973,False,0,2025-08-25T14:29:31.193988
12,puzzle12,easy,2,3,3,True,True,9.98,454,0,893,1347,False,0,2025-08-25T14:29:42.172249
13,puzzle13,easy,2,2,2,True,True,9.04,454,0,492,946,False,0,2025-08-25T14:29:52.207681
14,puzzle14,easy,3,3,3,True,True,9.48,464,0,828,1292,False,0,2025-08-25T14:30:02.683573
15,puzzle15,easy,2,1,1,True,True,5.63,454,0,348,802,False,0,2025-08-25T14:30:09.309111
16,puzzle16,easy,2,3,3,True,True,11.05,454,0,829,1283,False,0,2025-08-25T14:30:21.361503
17,puzzle17,easy,3,1,1,True,True,4.87,464,0,348,812,False,0,2025-08-25T14:30:27.228057
18,puzzle18,easy,2,2,2,True,True,7.31,455,0,492,947,False,0,2025-08-25T14:30:35.541126
19,puzzle19,easy,3,2,2,True,True,5.94,463,0,684,1147,False,0,2025-08-25T14:30:42.485445
20,puzzle20,easy,3,3,3,True,True,13.87,465,0,637,1102,False,0,2025-08-25T14:30:57.352266
21,puzzle21,easy,3,2,2,True,True,7.41,463,0,685,1148,False,0,2025-08-25T14:31:05.767429
22,puzzle22,easy,3,2,2,True,True,8.84,464,0,620,1084,False,0,2025-08-25T14:31:15.611984
23,puzzle23,easy,2,1,1,True,True,6.15,455,0,476,931,False,0,2025-08-25T14:31:22.762171
24,puzzle24,easy,2,2,2,True,True,17.18,454,0,1068,1522,False,0,2025-08-25T14:31:40.946583
25,puzzle25,easy,3,2,2,True,True,13.88,464,0,557,1021,False,0,2025-08-25T14:31:55.829434
26,puzzle26,easy,2,1,1,True,True,3.83,454,0,220,674,False,0,2025-08-25T14:32:00.655671
27,puzzle27,easy,3,1,1,True,True,5.99,464,0,412,876,False,0,2025-08-25T14:32:07.649640
28,puzzle28,easy,3,3,3,True,True,12.45,464,0,829,1293,False,0,2025-08-25T14:32:21.098369
29,puzzle29,easy,2,3,3,True,True,11.49,455,0,572,1027,False,0,2025-08-25T14:32:33.588998
30,puzzle30,easy,2,3,4,False,True,24.62,454,0,2381,2835,False,0,2025-08-25T14:32:59.207393
31,puzzle31,easy,2,2,2,True,True,5.68,455,0,300,755,False,0,2025-08-25T14:33:05.887877
32,puzzle32,easy,3,2,2,True,True,8.88,464,0,492,956,False,0,2025-08-25T14:33:15.764558
33,puzzle33,easy,3,2,2,True,True,12.53,464,0,749,1213,False,0,2025-08-25T14:33:29.294037
34,puzzle34,easy,3,3,3,True,True,13.8,464,0,765,1229,False,0,2025-08-25T14:33:44.094280
35,puzzle35,easy,3,4,5,False,True,70.71,465,0,2334,2799,False,0,2025-08-25T14:34:55.805530
36,puzzle36,easy,2,3,3,True,True,9.96,455,0,957,1412,False,0,2025-08-25T14:35:06.763683
37,puzzle37,easy,3,4,4,True,True,39.24,463,0,1933,2396,False,0,2025-08-25T14:35:47.003022
38,puzzle38,easy,2,2,2,True,True,7.62,455,0,428,883,False,0,2025-08-25T14:35:55.622962
39,puzzle39,easy,2,3,3,True,True,8.23,455,0,700,1155,False,0,2025-08-25T14:36:04.855252
40,puzzle40,easy,2,1,1,True,True,4.76,455,0,284,739,False,0,2025-08-25T14:36:10.620197
41,puzzle41,easy,2,1,1,True,True,6.96,455,0,476,931,False,0,2025-08-25T14:36:18.579506
42,puzzle42,easy,3,2,2,True,True,8.44,464,0,556,1020,False,0,2025-08-25T14:36:28.016589
43,puzzle43,easy,3,5,5,True,True,21.45,465,0,1694,2159,False,0,2025-08-25T14:36:50.462508
44,puzzle44,easy,2,3,3,True,True,15.5,455,0,1469,1924,False,0,2025-08-25T14:37:06.962104
45,puzzle45,easy,3,3,3,True,True,27.21,464,0,1853,2317,False,0,2025-08-25T14:37:35.175698
46,puzzle46,easy,3,1,1,True,True,4.12,463,0,348,811,False,0,2025-08-25T14:37:40.295833
47,puzzle47,easy,3,3,3,True,True,16.31,463,0,829,1292,False,0,2025-08-25T14:37:57.602853
48,puzzle48,easy,2,3,3,True,True,19.59,455,0,1724,2179,False,0,2025-08-25T14:38:18.194127
49,puzzle49,easy,2,1,1,True,True,4.73,454,0,284,738,False,0,2025-08-25T14:38:23.925803
50,puzzle50,easy,3,2,2,True,True,11.07,463,0,428,891,False,0,2025-08-25T14:38:35.999222
51,puzzle51,medium,5,5,6,False,True,24.23,483,0,1967,2450,False,0,2025-08-25T14:39:01.232628
52,puzzle52,medium,5,2,2,True,True,11.97,483,0,621,1104,False,0,2025-08-25T14:39:14.201280
53,puzzle53,medium,5,6,6,True,True,79.2,483,0,4207,4690,False,0,2025-08-25T14:40:34.397096
54,puzzle54,medium,4,2,2,True,True,8.32,473,0,492,965,False,0,2025-08-25T14:40:43.713455
55,puzzle55,medium,4,4,5,False,True,32.41,473,0,2911,3384,False,0,2025-08-25T14:41:17.125270
56,puzzle56,medium,4,3,3,True,True,13.49,474,0,1277,1751,False,0,2025-08-25T14:41:31.613289
57,puzzle57,medium,5,1,1,True,True,7.19,483,0,412,895,False,0,2025-08-25T14:41:39.807223
58,puzzle58,medium,5,4,4,True,True,29.65,483,0,1998,2481,False,0,2025-08-25T14:42:10.453454
59,puzzle59,medium,5,4,4,True,True,26.18,483,0,1678,2161,False,0,2025-08-25T14:42:37.633734
60,puzzle60,medium,4,4,4,True,True,20.28,474,0,1678,2152,False,0,2025-08-25T14:42:58.913070
61,puzzle61,medium,4,5,5,True,True,51.98,473,0,2334,2807,False,0,2025-08-25T14:43:51.894028
62,puzzle62,medium,5,5,5,True,True,47.29,483,0,3422,3905,False,0,2025-08-25T14:44:40.180180
63,puzzle63,medium,4,4,4,True,True,59.26,474,0,2318,2792,False,0,2025-08-25T14:45:40.439599
64,puzzle64,medium,4,4,4,True,True,14.98,474,0,1165,1639,False,0,2025-08-25T14:45:56.417246
65,puzzle65,medium,5,2,2,True,True,9.0,483,0,749,1232,False,0,2025-08-25T14:46:06.415048
66,puzzle66,medium,4,4,4,True,True,20.84,473,0,1485,1958,False,0,2025-08-25T14:46:28.259373
67,puzzle67,medium,4,1,1,True,True,5.62,474,0,348,822,False,0,2025-08-25T14:46:34.881712
68,puzzle68,medium,4,1,1,True,True,4.61,473,0,348,821,False,0,2025-08-25T14:46:40.489478
