puzzle_num,puzzle_folder,difficulty,num_1x1_blockers,num_2x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,5,0,4,6,False,True,27.09,2025-08-27T14:52:12.183510
2,puzzle2,easy,4,0,5,5,True,True,19.68,2025-08-27T14:52:32.863884
3,puzzle3,easy,4,0,2,3,False,True,22.14,2025-08-27T14:52:56.008348
4,puzzle4,easy,4,0,1,1,True,True,8.52,2025-08-27T14:53:05.529535
5,puzzle5,easy,4,0,6,7,False,True,25.41,2025-08-27T14:53:31.941637
6,puzzle6,easy,4,0,4,5,False,True,19.39,2025-08-27T14:53:52.327578
7,puzzle7,easy,4,0,5,8,False,True,42.73,2025-08-27T14:54:36.053709
8,puzzle8,easy,4,0,4,7,False,True,24.29,2025-08-27T14:55:01.342066
9,puzzle9,easy,4,0,3,3,True,True,14.77,2025-08-27T14:55:17.116748
10,puzzle10,easy,4,0,6,7,False,True,34.64,2025-08-27T14:55:52.752430
11,puzzle11,easy,4,0,3,3,True,True,18.66,2025-08-27T14:56:12.416172
12,puzzle12,easy,3,1,2,2,True,True,17.56,2025-08-27T14:56:30.978298
13,puzzle13,easy,4,0,4,5,False,True,33.79,2025-08-27T14:57:05.767764
14,puzzle14,easy,3,1,5,5,True,True,20.2,2025-08-27T14:57:26.967997
15,puzzle15,easy,3,1,1,1,True,True,15.82,2025-08-27T14:57:43.784096
16,puzzle16,easy,5,0,1,1,True,True,17.21,2025-08-27T14:58:01.991461
17,puzzle17,easy,3,1,1,1,True,True,17.35,2025-08-27T14:58:20.342088
18,puzzle18,easy,5,0,2,2,True,True,11.29,2025-08-27T14:58:32.628563
19,puzzle19,easy,4,0,5,7,False,True,53.55,2025-08-27T14:59:27.175628
20,puzzle20,easy,4,0,2,2,True,True,13.66,2025-08-27T14:59:41.834859
21,puzzle21,easy,5,0,5,6,False,True,25.51,2025-08-27T15:00:08.348065
22,puzzle22,easy,4,0,1,1,True,True,11.7,2025-08-27T15:00:21.048943
23,puzzle23,easy,5,0,5,5,True,True,37.6,2025-08-27T15:00:59.651265
24,puzzle24,easy,4,0,4,4,True,True,21.12,2025-08-27T15:01:21.770081
25,puzzle25,easy,4,0,2,2,True,True,18.46,2025-08-27T15:01:41.229627
26,puzzle26,easy,3,1,3,3,True,True,25.52,2025-08-27T15:02:07.753200
27,puzzle27,easy,5,0,3,3,True,True,14.72,2025-08-27T15:02:23.469372
28,puzzle28,easy,5,0,2,2,True,True,12.97,2025-08-27T15:02:37.444570
29,puzzle29,easy,4,0,4,4,True,True,16.05,2025-08-27T15:02:54.499152
30,puzzle30,easy,5,0,3,3,True,True,14.0,2025-08-27T15:03:09.497165
