puzzle_num,puzzle_folder,difficulty,num_1x1_blockers,num_2x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,prompt_tokens,completion_tokens,total_tokens,has_reasoning,reasoning_length_chars,content_length_chars,timestamp
1,puzzle1,easy,5,0,4,4,True,True,175.56,939,3387,4326,True,9025,123,2025-08-26T16:41:15.294412
2,puzzle2,easy,4,0,5,5,True,True,157.0,927,3019,3946,True,8145,147,2025-08-26T16:43:53.290491
3,puzzle3,easy,4,0,2,2,True,True,135.6,928,2477,3405,True,7399,72,2025-08-26T16:46:09.889122
4,puzzle4,easy,4,0,1,1,True,True,56.96,929,1044,1973,True,3259,47,2025-08-26T16:47:07.848537
5,puzzle5,easy,4,0,6,7,False,True,395.11,928,7709,8637,True,19630,199,2025-08-26T16:53:43.962396
6,puzzle6,easy,4,0,4,5,False,True,222.46,930,4115,5045,True,10992,148,2025-08-26T16:57:27.421428
7,puzzle7,easy,4,0,5,5,True,True,174.48,928,3315,4243,True,9586,147,2025-08-26T17:00:22.906088
8,puzzle8,easy,4,0,4,4,True,True,139.12,926,2653,3579,True,7481,122,2025-08-26T17:02:43.027547
9,puzzle9,easy,4,0,3,3,True,True,155.77,928,2981,3909,True,8436,98,2025-08-26T17:05:19.796040
10,puzzle10,easy,4,0,6,6,True,True,398.95,928,7433,8361,True,19579,173,2025-08-26T17:11:59.749398
11,puzzle11,easy,4,0,3,3,True,True,95.84,929,1800,2729,True,5258,97,2025-08-26T17:13:36.595089
12,puzzle12,easy,3,1,2,2,True,True,110.62,932,2065,2997,True,5789,72,2025-08-26T17:15:28.213903
13,puzzle13,easy,4,0,4,6,False,True,267.0,927,5156,6083,True,13564,174,2025-08-26T17:19:56.220271
14,puzzle14,easy,3,1,5,5,True,True,269.61,932,5255,6187,True,13935,165,2025-08-26T17:24:26.836379
15,puzzle15,easy,3,1,1,1,True,True,151.33,933,2831,3764,True,9096,47,2025-08-26T17:26:59.167246
16,puzzle16,easy,5,0,1,1,True,True,92.94,939,1656,2595,True,5180,47,2025-08-26T17:28:33.109389
17,puzzle17,easy,3,1,1,1,True,True,229.32,931,4363,5294,True,14429,47,2025-08-26T17:32:23.427811
18,puzzle18,easy,5,0,2,2,True,True,100.13,940,1806,2746,True,5729,72,2025-08-26T17:34:04.555777
19,puzzle19,easy,4,0,5,5,True,True,244.29,928,4761,5689,True,12556,148,2025-08-26T17:38:09.842298
20,puzzle20,easy,4,0,2,2,True,True,101.91,929,1975,2904,True,5529,72,2025-08-26T17:39:52.756961
