puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
1,puzzle1,easy,2,4,4,True,True,11.57,438,0,1037,1475,False,0,2025-08-23T22:32:59.972736
2,puzzle2,easy,2,1,1,True,True,3.7,438,0,284,722,False,0,2025-08-23T22:33:05.674813
3,puzzle3,easy,2,2,2,True,True,9.37,439,0,428,867,False,0,2025-08-23T22:33:17.048638
4,puzzle4,easy,2,3,3,True,True,12.73,439,0,829,1268,False,0,2025-08-23T22:33:31.779564
5,puzzle5,easy,2,2,2,True,True,5.9,438,0,428,866,False,0,2025-08-23T22:33:39.677189
6,puzzle6,easy,3,1,1,True,True,5.99,448,0,348,796,False,0,2025-08-23T22:33:47.664323
7,puzzle7,easy,3,3,4,False,True,22.78,447,0,1357,1804,False,0,2025-08-23T22:34:12.445275
8,puzzle8,easy,3,3,3,True,True,10.08,448,0,829,1277,False,0,2025-08-23T22:34:24.528150
9,puzzle9,easy,3,4,4,True,True,14.28,448,0,1421,1869,False,0,2025-08-23T22:34:40.809850
10,puzzle10,easy,3,2,2,True,True,8.17,449,0,620,1069,False,0,2025-08-23T22:34:50.979810
11,puzzle11,easy,3,4,4,True,True,20.3,448,0,845,1293,False,0,2025-08-23T22:35:13.281999
12,puzzle12,easy,2,3,3,True,True,13.45,438,0,893,1331,False,0,2025-08-23T22:35:28.733168
13,puzzle13,easy,2,2,2,True,True,16.18,438,0,684,1122,False,0,2025-08-23T22:35:46.916687
14,puzzle14,easy,3,3,3,True,True,9.1,448,0,764,1212,False,0,2025-08-23T22:35:58.017583
15,puzzle15,easy,2,1,1,True,True,5.43,438,0,284,722,False,0,2025-08-23T22:36:05.445939
16,puzzle16,easy,2,3,3,True,True,8.8,438,0,701,1139,False,0,2025-08-23T22:36:16.246774
17,puzzle17,easy,3,1,1,True,True,3.74,448,0,284,732,False,0,2025-08-23T22:36:21.983910
18,puzzle18,easy,2,2,2,True,True,6.19,439,0,300,739,False,0,2025-08-23T22:36:30.172972
19,puzzle19,easy,3,2,2,True,True,6.19,447,0,428,875,False,0,2025-08-23T22:36:38.366070
20,puzzle20,easy,3,3,3,True,True,31.48,449,0,1341,1790,False,0,2025-08-23T22:37:11.848664
21,puzzle21,easy,3,2,2,True,True,8.96,447,0,621,1068,False,0,2025-08-23T22:37:22.810669
22,puzzle22,easy,3,2,2,True,True,6.19,448,0,684,1132,False,0,2025-08-23T22:37:30.997192
23,puzzle23,easy,2,1,1,True,True,4.96,439,0,284,723,False,0,2025-08-23T22:37:37.962045
24,puzzle24,easy,2,2,2,True,True,7.29,438,0,684,1122,False,0,2025-08-23T22:37:47.249000
25,puzzle25,easy,3,2,2,True,True,8.99,448,0,685,1133,False,0,2025-08-23T22:37:58.236521
26,puzzle26,easy,2,1,1,True,True,3.64,438,0,220,658,False,0,2025-08-23T22:38:03.878565
27,puzzle27,easy,3,1,1,True,True,5.05,448,0,348,796,False,0,2025-08-23T22:38:10.933022
