puzzle_id,folder_name,base_puzzle,difficulty,num_2x1_blockers,num_3x1_blockers,solution_length,exit_position
1,puzzle1,1,easy,3,1,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
2,puzzle2,2,easy,4,0,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
3,puzzle3,3,easy,4,0,1,"[3,4] and [3,5] (2x1 horizontal target zone)"
4,puzzle4,4,easy,2,2,11,"[3,4] and [3,5] (2x1 horizontal target zone)"
5,puzzle5,5,easy,3,1,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
6,puzzle6,6,easy,2,2,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
7,puzzle7,7,easy,2,2,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
8,puzzle8,8,easy,4,0,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
9,puzzle9,9,easy,4,0,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
10,puzzle10,10,easy,4,0,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
11,puzzle11,11,easy,4,0,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
12,puzzle12,12,easy,3,1,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
13,puzzle13,13,easy,4,0,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
14,puzzle14,14,easy,4,0,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
15,puzzle15,15,easy,4,0,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
16,puzzle16,16,easy,4,0,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
17,puzzle17,17,easy,3,1,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
18,puzzle18,18,easy,4,0,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
19,puzzle19,19,easy,3,1,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
20,puzzle20,20,easy,3,1,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
21,puzzle21,21,easy,2,2,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
22,puzzle22,22,easy,2,2,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
23,puzzle23,23,easy,4,0,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
24,puzzle24,24,easy,2,2,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
25,puzzle25,25,easy,2,2,11,"[3,4] and [3,5] (2x1 horizontal target zone)"
26,puzzle26,26,easy,3,1,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
27,puzzle27,27,easy,3,1,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
28,puzzle28,28,easy,2,2,15,"[3,4] and [3,5] (2x1 horizontal target zone)"
29,puzzle29,29,easy,3,1,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
30,puzzle30,30,easy,2,2,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
31,puzzle31,31,easy,2,2,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
32,puzzle32,32,easy,4,0,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
33,puzzle33,33,easy,2,2,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
34,puzzle34,34,easy,4,0,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
35,puzzle35,35,easy,4,0,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
36,puzzle36,36,easy,2,2,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
37,puzzle37,37,easy,4,0,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
38,puzzle38,38,easy,4,0,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
39,puzzle39,39,easy,3,1,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
40,puzzle40,40,easy,4,0,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
41,puzzle41,41,easy,4,0,1,"[3,4] and [3,5] (2x1 horizontal target zone)"
42,puzzle42,42,easy,2,2,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
43,puzzle43,43,easy,4,0,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
44,puzzle44,44,easy,4,0,1,"[3,4] and [3,5] (2x1 horizontal target zone)"
