puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,prompt_tokens,completion_tokens,total_tokens,has_reasoning,reasoning_length_chars,content_length_chars,timestamp
1,puzzle1,easy,2,4,4,True,True,109.7,475,2188,2663,True,6069,123,2025-08-25T20:39:18.068383
2,puzzle2,easy,2,1,1,True,True,104.84,473,2031,2504,True,6964,47,2025-08-25T20:41:03.906516
3,puzzle3,easy,2,2,2,True,True,111.67,473,2287,2760,True,7303,72,2025-08-25T20:42:56.573076
4,puzzle4,easy,2,3,3,True,True,135.2,474,2744,3218,True,7476,98,2025-08-25T20:45:12.771960
5,puzzle5,easy,2,2,2,True,True,86.95,473,1724,2197,True,5459,72,2025-08-25T20:46:40.727354
6,puzzle6,easy,3,1,1,True,True,79.01,484,1532,2016,True,5134,47,2025-08-25T20:48:00.734119
7,puzzle7,easy,3,3,3,True,True,112.19,483,2356,2839,True,6661,97,2025-08-25T20:49:53.919991
8,puzzle8,easy,3,3,3,True,True,100.82,484,2090,2574,True,5745,98,2025-08-25T20:51:35.736643
9,puzzle9,easy,3,4,4,True,True,279.7,484,6093,6577,True,14450,123,2025-08-25T20:56:16.438929
10,puzzle10,easy,3,2,2,True,True,73.13,483,1356,1839,True,4103,72,2025-08-25T20:57:30.571611
11,puzzle11,easy,3,4,4,True,True,175.76,484,3579,4063,True,8947,123,2025-08-25T21:00:27.333195
12,puzzle12,easy,2,3,3,True,True,157.71,475,3171,3646,True,8745,98,2025-08-25T21:03:06.045459
13,puzzle13,easy,2,2,2,True,True,196.32,473,4116,4589,True,13418,72,2025-08-25T21:06:23.365996
14,puzzle14,easy,3,3,3,True,True,128.03,483,2559,3042,True,7565,97,2025-08-25T21:08:32.398028
15,puzzle15,easy,2,1,1,True,True,80.69,473,1621,2094,True,5440,47,2025-08-25T21:09:54.084601
16,puzzle16,easy,2,3,3,True,True,129.48,474,2504,2978,True,7048,98,2025-08-25T21:12:04.569091
17,puzzle17,easy,3,1,1,True,True,93.21,482,1699,2181,True,5717,47,2025-08-25T21:13:38.783229
18,puzzle18,easy,2,2,2,True,True,141.64,475,2614,3089,True,8480,72,2025-08-25T21:16:01.428098
19,puzzle19,easy,3,2,2,True,True,112.38,483,2136,2619,True,6401,72,2025-08-25T21:17:54.804162
20,puzzle20,easy,3,3,3,True,True,129.26,483,2458,2941,True,6646,98,2025-08-25T21:20:05.063892
21,puzzle21,easy,3,2,2,True,True,92.36,483,1716,2199,True,4853,73,2025-08-25T21:21:38.426960
22,puzzle22,easy,3,2,2,True,True,168.27,483,3134,3617,True,9678,72,2025-08-25T21:24:27.696531
23,puzzle23,easy,2,1,1,True,True,78.36,473,1463,1936,True,4756,47,2025-08-25T21:25:47.058619
24,puzzle24,easy,2,2,3,False,True,105.78,472,1963,2435,True,5409,98,2025-08-25T21:27:33.835274
25,puzzle25,easy,3,2,2,True,True,90.06,484,1695,2179,True,4530,73,2025-08-25T21:29:04.900505
26,puzzle26,easy,2,1,1,True,True,90.22,474,1618,2092,True,5324,47,2025-08-25T21:30:36.122289
27,puzzle27,easy,3,1,1,True,True,99.65,483,1829,2312,True,5999,47,2025-08-25T21:32:16.775815
28,puzzle28,easy,3,3,3,True,True,134.36,482,2631,3113,True,7153,98,2025-08-25T21:34:32.137197
29,puzzle29,easy,2,3,3,True,True,128.45,475,2373,2848,True,5666,97,2025-08-25T21:36:41.586448
30,puzzle30,easy,2,3,4,False,True,312.42,473,6126,6599,True,15317,123,2025-08-25T21:41:55.009743
31,puzzle31,easy,2,2,2,True,True,162.11,474,2939,3413,True,10409,72,2025-08-25T21:44:38.116863
32,puzzle32,easy,3,2,2,True,True,137.77,483,2503,2986,True,7535,72,2025-08-25T21:46:56.887858
33,puzzle33,easy,3,2,2,True,True,60.54,483,1113,1596,True,3138,73,2025-08-25T21:47:58.432539
34,puzzle34,easy,3,3,3,True,True,126.17,482,2299,2781,True,6188,98,2025-08-25T21:50:05.605095
35,puzzle35,easy,3,4,4,True,True,212.88,484,4100,4584,True,11255,123,2025-08-25T21:53:39.482623
36,puzzle36,easy,2,3,3,True,True,125.75,474,2359,2833,True,6074,98,2025-08-25T21:55:46.237783
37,puzzle37,easy,3,4,4,True,True,291.4,484,5646,6130,True,14842,123,2025-08-25T22:00:38.636406
38,puzzle38,easy,2,2,2,True,True,141.66,474,2546,3020,True,5293,72,2025-08-25T22:03:01.296150
39,puzzle39,easy,2,3,3,True,True,214.57,474,4124,4598,True,12216,97,2025-08-25T22:06:36.865530
40,puzzle40,easy,2,1,1,True,True,101.71,473,1850,2323,True,6154,47,2025-08-25T22:08:19.580246
41,puzzle41,easy,2,1,1,True,True,113.2,474,2080,2554,True,7186,47,2025-08-25T22:10:13.785216
42,puzzle42,easy,3,2,2,True,True,149.3,483,2745,3228,True,8489,72,2025-08-25T22:12:44.087950
43,puzzle43,easy,3,5,5,True,True,146.3,483,2785,3268,True,7054,149,2025-08-25T22:15:11.384763
44,puzzle44,easy,2,3,3,True,True,216.65,474,4080,4554,True,10876,98,2025-08-25T22:18:49.034144
45,puzzle45,easy,3,3,3,True,True,176.08,482,3292,3774,True,8611,98,2025-08-25T22:21:46.113151
46,puzzle46,easy,3,1,1,True,True,270.77,482,2759,3241,True,9408,47,2025-08-25T22:26:17.887289
47,puzzle47,easy,3,3,3,True,True,140.32,483,2754,3237,True,7592,98,2025-08-25T22:28:39.208835
48,puzzle48,easy,2,3,3,True,True,141.13,474,2608,3082,True,8894,97,2025-08-25T22:31:01.338408
49,puzzle49,easy,2,1,1,True,True,145.75,473,2667,3140,True,9297,47,2025-08-25T22:33:28.092434
50,puzzle50,easy,3,2,2,True,True,128.84,483,2459,2942,True,7938,72,2025-08-25T22:35:37.936472
51,puzzle51,medium,5,5,6,False,True,327.8,503,6411,6914,True,16054,175,2025-08-25T22:41:06.737155
52,puzzle52,medium,5,2,2,True,True,86.36,502,1657,2159,True,4732,73,2025-08-25T22:42:34.100314
53,puzzle53,medium,5,6,6,True,True,264.33,503,5355,5858,True,12480,175,2025-08-25T22:46:59.431281
54,puzzle54,medium,4,2,2,True,True,137.53,492,2650,3142,True,8761,72,2025-08-25T22:49:17.957097
55,puzzle55,medium,4,4,4,True,True,158.54,493,3038,3531,True,7893,124,2025-08-25T22:51:57.498285
56,puzzle56,medium,4,3,3,True,True,120.97,492,2360,2852,True,6260,98,2025-08-25T22:53:59.464786
57,puzzle57,medium,5,1,1,True,True,122.81,501,2380,2881,True,7939,47,2025-08-25T22:56:03.280185
58,puzzle58,medium,5,4,4,True,True,197.47,502,3934,4436,True,9614,124,2025-08-25T22:59:21.750945
59,puzzle59,medium,5,4,4,True,True,137.64,503,2770,3273,True,7606,124,2025-08-25T23:01:40.391075
60,puzzle60,medium,4,4,4,True,True,176.47,493,3523,4016,True,9049,124,2025-08-25T23:04:37.859438
61,puzzle61,medium,4,5,5,True,True,188.29,492,3701,4193,True,9350,149,2025-08-25T23:07:47.149501
62,puzzle62,medium,5,5,5,True,True,364.32,502,7154,7656,True,17292,149,2025-08-25T23:13:52.474881
63,puzzle63,medium,4,4,4,True,True,193.87,493,3967,4460,True,10472,124,2025-08-25T23:17:07.343474
64,puzzle64,medium,4,4,4,True,True,231.48,493,4731,5224,True,12535,123,2025-08-25T23:20:59.827639
65,puzzle65,medium,5,2,2,True,True,71.27,502,1482,1984,True,4311,73,2025-08-25T23:22:12.098435
66,puzzle66,medium,4,4,4,True,True,307.37,494,6607,7101,True,16740,123,2025-08-25T23:27:20.465086
67,puzzle67,medium,4,1,1,True,True,160.23,493,3318,3811,True,11011,47,2025-08-25T23:30:01.695683
68,puzzle68,medium,4,1,1,True,True,85.83,493,1727,2220,True,5418,47,2025-08-25T23:31:28.527781
69,puzzle69,medium,4,4,4,True,True,142.45,493,2735,3228,True,7147,124,2025-08-25T23:33:51.979097
70,puzzle70,medium,4,4,4,True,True,171.24,493,3284,3777,True,8298,123,2025-08-25T23:36:44.223001
71,puzzle71,medium,5,4,11,False,True,660.09,501,13038,13539,True,29854,306,2025-08-25T23:47:45.318764
72,puzzle72,medium,4,1,1,True,True,144.24,493,2740,3233,True,9398,47,2025-08-25T23:50:10.556993
73,puzzle73,medium,5,2,2,True,True,72.88,502,1394,1896,True,4047,73,2025-08-25T23:51:24.438469
74,puzzle74,medium,4,2,2,True,True,113.72,493,2260,2753,True,6652,73,2025-08-25T23:53:19.159929
75,puzzle75,medium,4,3,3,True,True,101.92,492,2012,2504,True,5402,98,2025-08-25T23:55:02.077444
76,puzzle76,medium,5,5,5,True,True,156.48,502,3094,3596,True,7419,149,2025-08-25T23:57:39.558983
77,puzzle77,medium,4,1,1,True,True,148.83,493,2873,3366,True,9913,47,2025-08-26T00:00:09.393220
78,puzzle78,medium,4,4,4,True,True,186.51,492,3749,4241,True,9613,124,2025-08-26T00:03:16.904844
79,puzzle79,medium,4,2,2,True,True,142.21,493,2782,3275,True,8666,72,2025-08-26T00:05:40.118745
80,puzzle80,medium,4,4,4,True,True,263.09,493,5422,5915,True,13951,124,2025-08-26T00:10:04.211105
81,puzzle81,medium,5,3,3,True,True,238.04,501,4830,5331,True,12715,98,2025-08-26T00:14:03.247983
82,puzzle82,medium,5,1,1,True,True,99.63,501,1955,2456,True,6669,47,2025-08-26T00:15:43.877945
83,puzzle83,medium,5,3,3,True,True,127.85,502,2530,3032,True,7119,98,2025-08-26T00:17:52.728982
84,puzzle84,medium,5,2,2,True,True,93.61,502,1867,2369,True,5356,73,2025-08-26T00:19:27.340547
85,puzzle85,medium,5,5,5,True,True,295.42,501,6134,6635,True,15954,150,2025-08-26T00:24:23.759535
86,puzzle86,medium,4,4,4,True,True,372.8,494,7543,8037,True,20079,123,2025-08-26T00:30:37.563332
87,puzzle87,medium,4,2,2,True,True,104.86,492,2119,2611,True,5572,73,2025-08-26T00:32:23.421420
88,puzzle88,medium,5,1,1,True,True,156.59,503,2956,3459,True,9686,47,2025-08-26T00:35:01.012270
89,puzzle89,medium,5,4,4,True,True,299.97,502,5963,6465,True,15891,124,2025-08-26T00:40:01.978940
90,puzzle90,medium,4,3,3,True,True,164.76,492,3251,3743,True,8372,98,2025-08-26T00:42:47.741143
91,puzzle91,medium,5,1,1,True,True,183.72,502,3561,4063,True,12113,47,2025-08-26T00:45:52.460571
92,puzzle92,medium,4,1,1,True,True,90.14,493,1727,2220,True,5904,47,2025-08-26T00:47:23.604033
93,puzzle93,medium,4,1,1,True,True,138.24,493,2692,3185,True,9019,47,2025-08-26T00:49:42.841142
94,puzzle94,medium,4,3,3,True,True,150.17,493,2925,3418,True,7866,99,2025-08-26T00:52:14.037575
95,puzzle95,medium,4,2,4,False,True,121.65,492,2453,2945,True,6245,124,2025-08-26T00:54:16.689643
96,puzzle96,medium,5,3,3,True,True,116.53,502,2341,2843,True,5912,98,2025-08-26T00:56:14.216195
97,puzzle97,medium,5,1,1,True,True,77.57,503,1443,1946,True,4695,47,2025-08-26T00:57:32.782934
98,puzzle98,medium,4,2,2,True,True,84.26,493,1648,2141,True,4489,73,2025-08-26T00:58:58.038601
99,puzzle99,medium,4,3,3,True,True,153.23,493,2996,3489,True,8129,98,2025-08-26T01:01:32.268198
100,puzzle100,medium,4,2,2,True,True,59.55,494,1138,1632,True,3300,73,2025-08-26T01:02:32.816028
101,puzzle101,hard,7,10,10,True,True,477.64,521,9690,10211,True,23744,280,2025-08-26T01:10:31.461129
102,puzzle102,hard,7,6,8,False,True,339.16,520,6806,7326,True,16802,228,2025-08-26T01:16:11.620249
103,puzzle103,hard,7,3,3,True,True,106.49,521,2077,2598,True,5166,99,2025-08-26T01:17:59.111589
104,puzzle104,hard,6,8,11,False,True,435.47,511,8878,9389,True,19816,307,2025-08-26T01:25:15.577612
105,puzzle105,hard,6,3,3,True,True,159.98,511,3157,3668,True,8580,99,2025-08-26T01:27:56.553741
106,puzzle106,hard,6,3,3,True,True,85.73,512,1706,2218,True,4607,98,2025-08-26T01:29:23.285474
107,puzzle107,hard,7,4,0,False,False,1144.04,521,23729,24250,True,57304,496,2025-08-26T01:48:28.321441
108,puzzle108,hard,6,7,7,True,True,353.67,512,7242,7754,True,17292,201,2025-08-26T01:54:22.994133
109,puzzle109,hard,7,8,8,True,True,262.06,521,5308,5829,True,12858,227,2025-08-26T01:58:46.053295
110,puzzle110,hard,6,4,5,False,True,412.42,511,8652,9163,True,22395,150,2025-08-26T02:05:39.471143
111,puzzle111,hard,7,4,6,False,True,387.92,520,7989,8509,True,20748,176,2025-08-26T02:12:08.395966
112,puzzle112,hard,7,1,1,True,True,110.31,521,2076,2597,True,6962,47,2025-08-26T02:13:59.707353
113,puzzle113,hard,6,5,7,False,True,450.74,511,9411,9922,True,21923,202,2025-08-26T02:21:31.447500
114,puzzle114,hard,7,1,1,True,True,78.92,521,1500,2021,True,5134,47,2025-08-26T02:22:51.364770
115,puzzle115,hard,7,10,10,True,True,310.91,520,6313,6833,True,14993,280,2025-08-26T02:28:03.270665
116,puzzle116,hard,7,4,4,True,True,112.67,521,2290,2811,True,6223,125,2025-08-26T02:29:56.936608
117,puzzle117,hard,7,6,6,True,True,154.24,520,4114,4634,True,11182,176,2025-08-26T02:32:32.175550
118,puzzle118,hard,6,5,5,True,True,181.38,511,3894,4405,True,9729,150,2025-08-26T02:35:34.551482
119,puzzle119,hard,6,2,2,True,True,65.25,512,1331,1843,True,3732,73,2025-08-26T02:36:40.806562
120,puzzle120,hard,7,4,6,False,True,238.21,521,4966,5487,True,12595,176,2025-08-26T02:40:40.014108
121,puzzle121,hard,6,7,5,False,True,1034.73,512,21928,22440,True,51950,718,2025-08-26T02:57:55.747217
122,puzzle122,hard,7,5,6,False,True,717.51,521,15601,16122,True,39885,176,2025-08-26T03:09:54.254759
123,puzzle123,hard,6,5,5,True,True,266.19,511,5675,6186,True,14444,150,2025-08-26T03:14:21.446352
124,puzzle124,hard,7,3,3,True,True,96.15,521,2059,2580,True,5533,99,2025-08-26T03:15:58.599731
125,puzzle125,hard,7,6,6,True,True,213.65,521,4557,5078,True,12342,176,2025-08-26T03:19:33.246560
126,puzzle126,hard,6,3,3,True,True,71.95,512,1509,2021,True,4106,99,2025-08-26T03:20:46.201612
127,puzzle127,hard,7,3,3,True,True,133.95,521,2878,3399,True,7680,99,2025-08-26T03:23:01.154802
128,puzzle128,hard,6,6,8,False,True,634.38,512,14204,14716,True,32482,227,2025-08-26T03:33:36.531101
129,puzzle129,hard,7,9,11,False,True,559.44,521,11855,12376,True,28818,307,2025-08-26T03:42:56.974921
130,puzzle130,hard,7,7,11,False,True,484.99,521,10511,11032,True,24533,307,2025-08-26T03:51:02.961589
131,puzzle131,hard,6,8,8,True,True,319.72,512,6724,7236,True,16606,227,2025-08-26T03:56:23.681795
132,puzzle132,hard,7,5,2,False,True,853.04,521,18062,18583,True,48228,574,2025-08-26T04:10:37.718694
133,puzzle133,hard,7,2,2,True,True,55.97,520,1136,1656,True,3206,73,2025-08-26T04:11:34.689157
134,puzzle134,hard,7,7,7,True,True,416.14,521,8823,9344,True,21616,202,2025-08-26T04:18:31.832305
135,puzzle135,hard,6,2,2,True,True,69.24,512,1403,1915,True,3962,73,2025-08-26T04:19:42.072612
136,puzzle136,hard,7,4,4,True,True,195.32,520,3977,4497,True,10735,125,2025-08-26T04:22:58.394618
137,puzzle137,hard,6,3,3,True,True,109.49,512,2169,2681,True,6014,98,2025-08-26T04:24:48.890615
138,puzzle138,hard,7,5,5,True,True,220.43,521,4573,5094,True,11752,150,2025-08-26T04:28:30.322445
139,puzzle139,hard,7,4,0,False,False,514.49,521,10825,11346,True,30655,556,2025-08-26T04:37:05.813461
140,puzzle140,hard,7,3,3,True,True,92.29,521,1839,2360,True,5009,99,2025-08-26T04:38:39.102138
141,puzzle141,hard,7,6,3,False,True,1012.21,521,21202,21723,True,55481,487,2025-08-26T04:55:32.310960
142,puzzle142,hard,6,1,1,True,True,105.14,512,2171,2683,True,7215,47,2025-08-26T04:57:18.455863
143,puzzle143,hard,6,2,2,True,True,68.53,512,1407,1919,True,3919,73,2025-08-26T04:58:27.986447
144,puzzle144,hard,6,3,3,True,True,170.1,511,3516,4027,True,9650,99,2025-08-26T05:01:19.091634
145,puzzle145,hard,7,1,1,True,True,115.85,521,2367,2888,True,8157,47,2025-08-26T05:03:15.939329
146,puzzle146,hard,7,4,4,True,True,148.2,521,3188,3709,True,8395,125,2025-08-26T05:05:45.138695
147,puzzle147,hard,7,3,3,True,True,119.43,521,2545,3066,True,6902,99,2025-08-26T05:07:45.565559
148,puzzle148,hard,7,4,4,True,True,190.57,520,4133,4653,True,10671,125,2025-08-26T05:10:57.138326
149,puzzle149,hard,6,3,3,True,True,92.45,512,1887,2399,True,5192,98,2025-08-26T05:12:30.587856
150,puzzle150,hard,6,4,4,True,True,272.38,512,5895,6407,True,15891,124,2025-08-26T05:17:03.969153
