puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,2,4,4,True,True,25.4,2025-08-27T13:44:24.289957
2,puzzle2,easy,2,1,1,True,True,8.32,2025-08-27T13:44:33.605586
3,puzzle3,easy,2,2,2,True,True,9.96,2025-08-27T13:44:44.569067
4,puzzle4,easy,2,3,3,True,True,13.23,2025-08-27T13:44:58.798373
5,puzzle5,easy,2,2,2,True,True,10.29,2025-08-27T13:45:10.088840
6,puzzle6,easy,3,1,1,True,True,9.31,2025-08-27T13:45:20.399541
7,puzzle7,easy,3,3,3,True,True,21.34,2025-08-27T13:45:42.736050
8,puzzle8,easy,3,3,3,True,True,14.05,2025-08-27T13:45:57.784375
9,puzzle9,easy,3,4,4,True,True,28.49,2025-08-27T13:46:27.276722
10,puzzle10,easy,3,2,2,True,True,17.23,2025-08-27T13:46:45.505292
11,puzzle11,easy,3,4,4,True,True,26.66,2025-08-27T13:47:13.167092
12,puzzle12,easy,2,3,3,True,True,14.33,2025-08-27T13:47:28.498154
13,puzzle13,easy,2,2,2,True,True,16.22,2025-08-27T13:47:45.720077
14,puzzle14,easy,3,3,3,True,True,48.36,2025-08-27T13:48:35.077648
15,puzzle15,easy,2,1,1,True,True,14.03,2025-08-27T13:48:50.109282
16,puzzle16,easy,2,3,3,True,True,12.69,2025-08-27T13:49:03.798397
17,puzzle17,easy,3,1,1,True,True,9.6,2025-08-27T13:49:14.402327
18,puzzle18,easy,2,2,2,True,True,11.19,2025-08-27T13:49:26.588144
19,puzzle19,easy,3,2,3,False,True,19.79,2025-08-27T13:49:47.377140
20,puzzle20,easy,3,3,3,True,True,14.56,2025-08-27T13:50:02.942435
21,puzzle21,easy,3,2,2,True,True,10.46,2025-08-27T13:50:14.403881
22,puzzle22,easy,3,2,2,True,True,11.19,2025-08-27T13:50:26.597849
23,puzzle23,easy,2,1,1,True,True,12.62,2025-08-27T13:50:40.218148
24,puzzle24,easy,2,2,2,True,True,19.23,2025-08-27T13:51:00.447141
25,puzzle25,easy,3,2,2,True,True,9.39,2025-08-27T13:51:10.841083
26,puzzle26,easy,2,1,1,True,True,10.57,2025-08-27T13:51:22.408800
27,puzzle27,easy,3,1,1,True,True,11.34,2025-08-27T13:51:34.751091
28,puzzle28,easy,3,3,3,True,True,10.62,2025-08-27T13:51:46.374994
29,puzzle29,easy,2,3,3,True,True,14.15,2025-08-27T13:52:01.526695
30,puzzle30,easy,2,3,3,True,True,23.99,2025-08-27T13:52:26.514202
31,puzzle31,easy,2,2,2,True,True,11.9,2025-08-27T13:52:39.420337
32,puzzle32,easy,3,2,2,True,True,18.35,2025-08-27T13:52:58.770309
33,puzzle33,easy,3,2,2,True,True,11.66,2025-08-27T13:53:11.431868
34,puzzle34,easy,3,3,3,True,True,17.54,2025-08-27T13:53:29.973999
35,puzzle35,easy,3,4,4,True,True,22.48,2025-08-27T13:53:53.453025
36,puzzle36,easy,2,3,3,True,True,11.08,2025-08-27T13:54:05.538468
37,puzzle37,easy,3,4,4,True,True,19.89,2025-08-27T13:54:26.427696
38,puzzle38,easy,2,2,2,True,True,12.89,2025-08-27T13:54:40.320199
39,puzzle39,easy,2,3,3,True,True,14.19,2025-08-27T13:54:55.510335
40,puzzle40,easy,2,1,1,True,True,7.5,2025-08-27T13:55:04.008779
41,puzzle41,easy,2,1,1,True,True,10.78,2025-08-27T13:55:15.785126
42,puzzle42,easy,3,2,2,True,True,11.77,2025-08-27T13:55:28.555387
43,puzzle43,easy,3,5,5,True,True,28.24,2025-08-27T13:55:57.799704
44,puzzle44,easy,2,3,3,True,True,13.51,2025-08-27T13:56:12.313000
45,puzzle45,easy,3,3,3,True,True,21.02,2025-08-27T13:56:34.334291
46,puzzle46,easy,3,1,1,True,True,8.81,2025-08-27T13:56:44.143478
47,puzzle47,easy,3,3,3,True,True,18.04,2025-08-27T13:57:03.186265
48,puzzle48,easy,2,3,3,True,True,13.97,2025-08-27T13:57:18.157362
49,puzzle49,easy,2,1,1,True,True,9.55,2025-08-27T13:57:28.704163
50,puzzle50,easy,3,2,2,True,True,13.65,2025-08-27T13:57:43.349923
51,puzzle51,medium,5,5,6,False,True,15.8,2025-08-27T13:58:00.148250
52,puzzle52,medium,5,2,2,True,True,9.44,2025-08-27T13:58:10.588356
53,puzzle53,medium,5,6,6,True,True,50.01,2025-08-27T13:59:01.599455
54,puzzle54,medium,4,2,2,True,True,21.05,2025-08-27T13:59:23.650395
55,puzzle55,medium,4,4,6,False,True,26.3,2025-08-27T13:59:50.946519
56,puzzle56,medium,4,3,3,True,True,18.68,2025-08-27T14:00:10.631593
57,puzzle57,medium,5,1,1,True,True,12.57,2025-08-27T14:00:24.201987
58,puzzle58,medium,5,4,10,False,True,60.98,2025-08-27T14:01:26.180845
59,puzzle59,medium,5,4,4,True,True,35.87,2025-08-27T14:02:03.047250
60,puzzle60,medium,4,4,4,True,True,17.76,2025-08-27T14:02:21.810752
61,puzzle61,medium,4,5,5,True,True,33.38,2025-08-27T14:02:56.191455
62,puzzle62,medium,5,5,5,True,True,31.62,2025-08-27T14:03:28.813420
63,puzzle63,medium,4,4,4,True,True,17.31,2025-08-27T14:03:47.127213
64,puzzle64,medium,4,4,5,False,True,26.82,2025-08-27T14:04:14.946958
65,puzzle65,medium,5,2,2,True,True,8.1,2025-08-27T14:04:24.050023
66,puzzle66,medium,4,4,4,True,True,20.24,2025-08-27T14:04:45.290008
67,puzzle67,medium,4,1,1,True,True,10.43,2025-08-27T14:04:56.715354
68,puzzle68,medium,4,1,1,True,True,13.54,2025-08-27T14:05:11.258459
69,puzzle69,medium,4,4,4,True,True,30.88,2025-08-27T14:05:43.136833
70,puzzle70,medium,4,4,6,False,True,24.86,2025-08-27T14:06:08.996505
71,puzzle71,medium,5,4,4,True,True,37.42,2025-08-27T14:06:47.416875
72,puzzle72,medium,4,1,1,True,True,15.59,2025-08-27T14:07:04.006441
73,puzzle73,medium,5,2,2,True,True,8.01,2025-08-27T14:07:13.018639
74,puzzle74,medium,4,2,2,True,True,10.98,2025-08-27T14:07:24.995633
75,puzzle75,medium,4,3,3,True,True,12.41,2025-08-27T14:07:38.408279
76,puzzle76,medium,5,5,5,True,True,31.45,2025-08-27T14:08:10.861319
77,puzzle77,medium,4,1,1,True,True,10.38,2025-08-27T14:08:22.237562
78,puzzle78,medium,4,4,4,True,True,27.61,2025-08-27T14:08:50.852670
79,puzzle79,medium,4,2,2,True,True,12.68,2025-08-27T14:09:04.528712
80,puzzle80,medium,4,4,4,True,True,15.69,2025-08-27T14:09:21.222306
81,puzzle81,medium,5,3,3,True,True,27.57,2025-08-27T14:09:49.790127
82,puzzle82,medium,5,1,1,True,True,11.91,2025-08-27T14:10:02.699229
83,puzzle83,medium,5,3,3,True,True,29.0,2025-08-27T14:10:32.699354
84,puzzle84,medium,5,2,2,True,True,12.72,2025-08-27T14:10:46.418859
85,puzzle85,medium,5,5,5,True,True,67.91,2025-08-27T14:11:55.334236
86,puzzle86,medium,4,4,4,True,True,27.05,2025-08-27T14:12:23.381265
87,puzzle87,medium,4,2,2,True,True,15.8,2025-08-27T14:12:40.185135
88,puzzle88,medium,5,1,1,True,True,12.0,2025-08-27T14:12:53.186213
89,puzzle89,medium,5,4,4,True,True,30.71,2025-08-27T14:13:24.892332
90,puzzle90,medium,4,3,3,True,True,13.31,2025-08-27T14:13:39.201851
91,puzzle91,medium,5,1,0,False,False,2.44,2025-08-27T14:13:42.649546
92,puzzle92,medium,4,1,1,True,True,22.71,2025-08-27T14:14:06.357840
93,puzzle93,medium,4,1,1,True,True,11.95,2025-08-27T14:14:19.306663
94,puzzle94,medium,4,3,3,True,True,26.04,2025-08-27T14:14:46.343020
95,puzzle95,medium,4,2,2,True,True,20.91,2025-08-27T14:15:08.255956
96,puzzle96,medium,5,3,3,True,True,18.96,2025-08-27T14:15:28.217378
97,puzzle97,medium,5,1,1,True,True,12.82,2025-08-27T14:15:42.041733
98,puzzle98,medium,4,2,2,True,True,9.14,2025-08-27T14:15:52.177710
99,puzzle99,medium,4,3,3,True,True,21.05,2025-08-27T14:16:14.226722
100,puzzle100,medium,4,2,2,True,True,9.04,2025-08-27T14:16:24.270508
101,puzzle101,hard,7,10,12,False,True,112.42,2025-08-27T14:18:17.692086
102,puzzle102,hard,7,6,6,True,True,27.23,2025-08-27T14:18:45.925280
103,puzzle103,hard,7,3,4,False,True,14.91,2025-08-27T14:19:01.834508
104,puzzle104,hard,6,8,17,False,True,157.13,2025-08-27T14:21:39.965616
105,puzzle105,hard,6,3,3,True,True,26.51,2025-08-27T14:22:07.473292
106,puzzle106,hard,6,3,3,True,True,12.92,2025-08-27T14:22:21.394693
107,puzzle107,hard,7,4,4,True,True,73.44,2025-08-27T14:23:35.837256
108,puzzle108,hard,6,7,8,False,True,29.62,2025-08-27T14:24:06.454670
109,puzzle109,hard,7,8,14,False,True,101.01,2025-08-27T14:25:48.463377
110,puzzle110,hard,6,4,4,True,True,23.15,2025-08-27T14:26:12.609446
111,puzzle111,hard,7,4,4,True,True,27.47,2025-08-27T14:26:41.078379
112,puzzle112,hard,7,1,1,True,True,6.97,2025-08-27T14:26:49.053262
113,puzzle113,hard,6,5,5,True,True,48.98,2025-08-27T14:27:39.036629
114,puzzle114,hard,7,1,1,True,True,8.01,2025-08-27T14:27:48.048249
115,puzzle115,hard,7,10,10,True,True,54.3,2025-08-27T14:28:43.345376
116,puzzle116,hard,7,4,4,True,True,20.3,2025-08-27T14:29:04.646023
117,puzzle117,hard,7,6,6,True,True,40.16,2025-08-27T14:29:45.808018
118,puzzle118,hard,6,5,5,True,True,26.24,2025-08-27T14:30:13.046218
119,puzzle119,hard,6,2,2,True,True,8.62,2025-08-27T14:30:22.663649
120,puzzle120,hard,7,4,4,True,True,24.27,2025-08-27T14:30:47.936156
121,puzzle121,hard,6,7,7,True,True,108.61,2025-08-27T14:32:37.549360
122,puzzle122,hard,7,5,5,True,True,49.96,2025-08-27T14:33:28.512685
123,puzzle123,hard,6,5,5,True,True,19.4,2025-08-27T14:33:48.912708
124,puzzle124,hard,7,3,3,True,True,13.13,2025-08-27T14:34:03.038972
125,puzzle125,hard,7,6,6,True,True,35.21,2025-08-27T14:34:39.252506
126,puzzle126,hard,6,3,3,True,True,22.49,2025-08-27T14:35:02.746111
127,puzzle127,hard,7,3,3,True,True,12.46,2025-08-27T14:35:16.210917
128,puzzle128,hard,6,6,9,False,True,49.89,2025-08-27T14:36:07.104690
129,puzzle129,hard,7,9,12,False,True,147.73,2025-08-27T14:38:35.831788
130,puzzle130,hard,7,7,7,True,True,41.91,2025-08-27T14:39:18.739642
131,puzzle131,hard,6,8,12,False,True,165.09,2025-08-27T14:42:04.832926
132,puzzle132,hard,7,5,5,True,True,21.22,2025-08-27T14:42:27.051758
133,puzzle133,hard,7,2,2,True,True,9.14,2025-08-27T14:42:37.190291
134,puzzle134,hard,7,7,7,True,True,45.21,2025-08-27T14:43:23.396509
135,puzzle135,hard,6,2,2,True,True,8.3,2025-08-27T14:43:32.692085
136,puzzle136,hard,7,4,4,True,True,21.94,2025-08-27T14:43:55.628709
137,puzzle137,hard,6,3,3,True,True,11.6,2025-08-27T14:44:08.233140
138,puzzle138,hard,7,5,5,True,True,27.56,2025-08-27T14:44:36.796383
139,puzzle139,hard,7,4,6,False,True,28.69,2025-08-27T14:45:06.491038
140,puzzle140,hard,7,3,3,True,True,29.62,2025-08-27T14:45:37.108300
141,puzzle141,hard,7,6,6,True,True,94.44,2025-08-27T14:47:12.549389
