puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
1,puzzle1,easy,2,4,4,True,True,5.13,2025-08-21T09:48:15.089905
2,puzzle2,easy,2,1,1,True,True,5.6,2025-08-21T09:48:20.687105
3,puzzle3,easy,2,2,2,True,True,3.12,2025-08-21T09:48:23.804222
4,puzzle4,easy,2,3,2,False,True,2.29,2025-08-21T09:48:26.094451
5,puzzle5,easy,2,2,3,False,True,3.17,2025-08-21T09:48:29.264213
6,puzzle6,easy,3,1,2,False,True,2.29,2025-08-21T09:48:31.557179
7,puzzle7,easy,3,3,5,False,True,4.99,2025-08-21T09:48:36.545647
8,puzzle8,easy,3,3,4,False,True,4.11,2025-08-21T09:48:40.652712
9,puzzle9,easy,3,4,6,False,True,5.93,2025-08-21T09:48:46.580049
10,puzzle10,easy,3,2,5,False,True,5.05,2025-08-21T09:48:51.629021
11,puzzle11,easy,3,4,5,False,True,4.98,2025-08-21T09:48:56.614324
12,puzzle12,easy,2,3,4,False,True,4.11,2025-08-21T09:49:00.723252
13,puzzle13,easy,2,2,4,False,True,4.11,2025-08-21T09:49:04.834611
14,puzzle14,easy,3,3,6,False,True,5.92,2025-08-21T09:49:10.759541
15,puzzle15,easy,2,1,2,False,True,2.3,2025-08-21T09:49:13.058875
16,puzzle16,easy,2,3,3,True,True,3.18,2025-08-21T09:49:16.238848
17,puzzle17,easy,3,1,2,False,True,5.85,2025-08-21T09:49:22.092841
18,puzzle18,easy,2,2,3,False,True,3.19,2025-08-21T09:49:25.280705
19,puzzle19,easy,3,2,4,False,True,4.12,2025-08-21T09:49:29.404860
20,puzzle20,easy,3,3,3,True,True,3.19,2025-08-21T09:49:32.592171
21,puzzle21,easy,3,2,2,True,True,2.31,2025-08-21T09:49:34.902873
22,puzzle22,easy,3,2,4,False,True,4.13,2025-08-21T09:49:39.029174
23,puzzle23,easy,2,1,5,False,True,5.01,2025-08-21T09:49:44.039512
24,puzzle24,easy,2,2,4,False,True,4.13,2025-08-21T09:49:48.165401
25,puzzle25,easy,3,2,3,False,True,11.47,2025-08-21T09:49:59.637638
26,puzzle26,easy,2,1,2,False,True,2.31,2025-08-21T09:50:01.951403
27,puzzle27,easy,3,1,3,False,True,3.25,2025-08-21T09:50:05.202087
28,puzzle28,easy,3,3,4,False,True,4.13,2025-08-21T09:50:09.333759
29,puzzle29,easy,2,3,5,False,True,5.02,2025-08-21T09:50:14.356550
30,puzzle30,easy,2,3,5,False,True,5.02,2025-08-21T09:50:19.374578
31,puzzle31,easy,2,2,3,False,True,3.2,2025-08-21T09:50:22.575607
32,puzzle32,easy,3,2,4,False,True,4.14,2025-08-21T09:50:26.712704
33,puzzle33,easy,3,2,5,False,True,5.02,2025-08-21T09:50:31.737270
34,puzzle34,easy,3,3,3,True,True,3.2,2025-08-21T09:50:34.936875
35,puzzle35,easy,3,4,5,False,True,5.03,2025-08-21T09:50:39.968381
36,puzzle36,easy,2,3,4,False,True,4.15,2025-08-21T09:50:44.115123
